"Variable","EDF","F_value","p_value"
"s(twi_sd)",1.00002082389877,2.40096408656027,0.124446946491818
"s(twi_mean)",1.0000173551265,1.75649911711251,0.188112549748293
"s(slope_mean)",1.00000450255604,1.34118365936991,0.249609696403704
"s(tri_mean)",1.00000271331943,0.752803104608608,0.387689376755709
"s(tpi_sd)",1.0000086589829,0.618251162595796,0.433573729738664
"s(roughness_sd)",1.00000799228233,0.594201016834922,0.442637531631853
"s(tpi_mean)",1.00001478734303,0.545560961695787,0.461894365145875
"s(tri_sd)",1.00000200984587,0.356325642995651,0.551916831753586
"s(roughness_mean)",1.00000344197318,0.0814131206166165,0.775991190347429
"s(slope_sd)",1.00002335468977,0.00223573227018382,0.96259411672986
